User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
22203756,Mike Pence,mike_pence,Fri Feb 27 23:04:51 +0000 2009,3836255,979,721,5738,8436,,Vice President of the United States,,https://t.co/mZB2hymxC9,,,1
15985455,Governor Mike Pence,GovPenceIN,Mon Aug 25 18:52:42 +0000 2008,207872,874,236,10270,3366,,This is an archive of former Indiana Governor Mike Pence's account.,Indiana,https://t.co/JtutSiBKp5,,,1
1923451808,Karen Pence,FirstLadyIN,Tue Oct 01 13:19:42 +0000 2013,6756,113,128,1337,73,,Indiana's First Lady/ President of The Indiana First Lady's Charitable Foundation/ Official Ambassador for Indiana's Bicentennial,"Indiana, USA",,,,0
882999872,Indiana 2016,Indiana2016,Mon Oct 15 19:50:40 +0000 2012,3723,825,6664,3635,82,,"Official Account of the Indiana Bicentennial Commission! 
#Indiana200",The Crossroads of America,http://t.co/B7TaRcapBu,,,0
467736151,Ind. Econ. Dev. Corp,Indiana_EDC,Wed Jan 18 19:56:58 +0000 2012,7909,1368,6214,11156,215,,"#Indiana's lead economic development agency, helping businesses launch, grow & locate in #AStateThatWorks.",Indiana,https://t.co/DP9jKZduK0,,,0
2285188358,Indiana FSSA,FSSAIndiana,Fri Jan 10 14:34:28 +0000 2014,2836,612,1346,2744,31,,News and info from Indiana's Family and Social Services Administration (FSSA). Do not send case information. Call 800-403-0864 for case inquiries or service.,State of Indiana,http://t.co/JX4xsdC4FD,,,0
1219774933,WorkforceIND,WorkforceIND,Mon Feb 25 20:53:27 +0000 2013,1685,1262,1314,4518,42,,"Connecting People and Employers through Engagement, with continued Transparency and Accountability.

Equal Opportunity Employer/Program",,https://t.co/QpSITNXoOg,,,0
17836817,"City of Carmel, IN",CITYOFCARMELIN,Wed Dec 03 14:05:39 +0000 2008,12041,312,299,2465,134,,"The City of Carmel, Indiana has been named #1 Best Places to Live in America by Money magazine.","Carmel, IN",http://t.co/Al317WI4wk,,,0
3232145409,#IndyThisWeek,IndyThisWeek,Sun May 03 23:56:54 +0000 2015,2265,151,995,13845,92,,"Official Account of Indianapolis This Week, Indiana's top political show Sunday 8:30a RTV6",,https://t.co/Cxc95PgaYp,,,0
40653668,Indiana GOP,indgop,Sun May 17 12:48:30 +0000 2009,14373,4893,2402,16086,363,,"The official account of the Indiana Republican Party, Indiana's Party of Purpose!",Indiana,https://t.co/KBrCYuPMZG,,,1
357466934,Tony Cook,indystartony,Thu Aug 18 12:13:40 +0000 2011,9663,3331,2229,12214,362,,"Investigative reporter @IndyStar, focus on Indiana government/politics, @GovHolcomb, @VP Mike Pence. Cincy native. Alum: Purdue MFA, Las Vegas Sun, Toledo Blade","Indianapolis, IN",https://t.co/paJBosyDp6,,,1
18226567,Jon Thompson,JonThompsonDC,Thu Dec 18 21:55:34 +0000 2008,5059,689,1686,16409,147,,Campaign Comms for VP @Mike_Pence. Former Communications Director for @The_RGA. Native Tar Heel.,"Washington, DC",,,,1
19304414,INDOT,INDOT,Wed Jan 21 20:06:25 +0000 2009,18709,694,3886,12251,290,,"INDOT builds, maintains & operates a Next Level transportation system enhancing safety, mobility & economic growth. Not monitored 24/7. 
📞855-INDOT4U(463-6848)",Indiana,https://t.co/y9RyUprmgl,,,1
1087628484,Sue Ellspermann,SueEllspermann,Mon Jan 14 00:54:42 +0000 2013,4805,1077,796,2102,89,,,"Indianapolis, Indiana",,,,0
21878458,The RGA,The_RGA,Wed Feb 25 15:47:51 +0000 2009,45384,372,484,19028,1326,,The Republican Governors Association is dedicated to electing Republican governors across the country.,"Washington, DC",https://t.co/ySXmmhlZSa,,,1
16013053,Visit Indiana,VisitIndiana,Wed Aug 27 15:43:02 +0000 2008,43883,2568,5663,22604,1094,,"Official Twitter home of the #Indiana Office of Tourism Development. Sharing the best events, attractions, trips & food in the Hoosier State! #H2GIndiana","Indiana, USA",https://t.co/uOC970p8c1,,,1
487669298,Indiana Commission for Higher Education,HigherEdIN,Thu Feb 09 16:25:28 +0000 2012,2930,434,643,1982,103,,"Your source for news, information, and discussions regarding Higher Education in Indiana.","Indianapolis, IN",https://t.co/UB0UheHdnT,,,0
